"","Stop_ID","Stop_Name"
"1",277,"Lancaster Av & Girard Av"
"2",279,"40th St & Filbert St"
"3",283,"13th St Trolley Station"
"4",287,"36th St Trolley Portal Station"
"5",290,"Lancaster Av & 48th St"
"6",297,"Woodland Av & 49th St"
"7",301,"40th St Trolley Portal"
"8",302,"Woodland Av & 49th St"
"9",303,"Woodland Av & 62nd St"
"10",304,"Woodland Av & Island Av"
"11",305,"Darby Transportation Center - trolley"
"12",317,"Woodland Av & 50th St"
"13",319,"Kingsessing Av & Cemetary Av - Mt Moriah Loop"
"14",320,"Chester Av & 58th St "
"15",321,"Chester Av & 49th St"
"16",322,"Chester Av & 49th St"
"17",323,"Chester Av & 58th St"
"18",324,"Kingsessing Av & Cemetery Av - Mt Moriah Loop"
"19",325,"Chester Av & Allen Dr Yeadon Loop"
"20",342,"Girard Av & Front St"
"21",343,"Girard Av & Broad St"
"22",344,"Girard Av & 40th St - FS"
"23",345,"Girard Av & 59th St"
"24",349,"Girard Av & 59th St"
"25",350,"Girard Av & 40th St"
"26",352,"Girard Av & Broad St"
"27",481,"Frankford Av & Girard Av"
"28",599,"Baltimore Av & 61st St Angora Loop"
"29",600,"Baltimore Av & 49th St"
"30",601,"Baltimore Av & 49th St"
"31",605,"Island Av & Suffolk Av - MBNS"
"32",610,"Elmwood Av & 73rd St"
"33",611,"Elmwood Loop"
"34",612,"Island Av & 80th St Eastwick Loop "
"35",1938,"Avon Rd Station - FS"
"36",1939,"Lansdowne Av Station - FS"
"37",1940,"Drexel Hill Junction Station"
"38",1943,"Woodland Av Station"
"39",1944,"Springfield Mall Station"
"40",1946,"Providence Rd Station"
"41",1947,"Orange St Station - MBFS"
"42",1948,"Orange St Station - MBNS"
"43",1949,"Providence Rd Station"
"44",1951,"Springfield Mall Station"
"45",1952,"Woodland Av Station - FS"
"46",1953,"Scenic Rd Station"
"47",1955,"Drexel Hill Junction Station - FS"
"48",1957,"Avon Rd Station - FS"
"49",1959,"Baltimore Av Station"
"50",1961,"North St Station"
"51",1964,"North St Station - MBFS"
"52",2099,"MacDade Blvd Station"
"53",4726,"Bartram Av Station"
"54",10011,"Magnolia Av Station"
"55",12048,"Providence Rd Station"
"56",15271,"Lansdowne Av & 60th St"
"57",15319,"Fairfield Av Station - FS"
"58",15322,"Congress Av Station - FS"
"59",15325,"Garrettford Station - FS"
"60",15326,"Drexel Manor Station - MBFS"
"61",15327,"Marshall Rd Station"
"62",15328,"Creek Rd Station"
"63",15329,"Penn St Station"
"64",15330,"Springfield Rd Station"
"65",15333,"Andrews Av Station"
"66",15334,"Andrews Av Station - FS"
"67",15339,"Creek Rd Station - FS"
"68",15340,"Marshall Rd Station - FS"
"69",15341,"Garrettford Station"
"70",15344,"Congress Av Station"
"71",15348,"Fairfield Av Station"
"72",15349,"Huey Av Station - FS"
"73",15355,"Saxer Av Station"
"74",15358,"Pine Ridge Station - FS"
"75",15366,"Pine Ridge Station"
"76",15370,"Saxer Av Station - FS"
"77",15376,"Huey Av Station"
"78",15379,"Monroe St Station"
"79",15380,"Monroe St Station"
"80",15497,"69th St Transportation Center West Terminal"
"81",16395,"Aronimink Station"
"82",16402,"Aronimink Station"
"83",18597,"Walnut St Station - FS"
"84",18598,"Hilltop Rd Station - FS"
"85",18599,"Beverly Blvd Station - FS"
"86",18600,"Drexel Park Station"
"87",18601,"Irvington Rd Station"
"88",18602,"School Ln Station - FS"
"89",18603,"Anderson Av Station"
"90",18604,"Drexelbrook Station"
"91",18605,"Drexeline Station"
"92",18606,"Springfield Rd Station - FS"
"93",18607,"Thomson Av Station - FS"
"94",18608,"Beatty Rd Station"
"95",18609,"Manchester Av Station"
"96",18610,"Edgmont St Station"
"97",18611,"Jackson St Station"
"98",18612,"Olive St Station"
"99",18613,"Veterans Square Station"
"100",18614,"Leamy Av Station"
"101",18615,"Veterans Square Station"
"102",18616,"Olive St Station"
"103",18617,"Jackson St Station"
"104",18618,"Edgmont St Station"
"105",18619,"Manchester Av Station"
"106",18620,"Beatty Rd Station"
"107",18621,"Thomson Av Station"
"108",18622,"Leamy Av Station - FS"
"109",18623,"Springfield Rd Station - FS"
"110",18624,"Drexeline Station - FS"
"111",18625,"Drexelbrook Station - FS"
"112",18626,"Anderson Av Station - FS"
"113",18627,"School Ln Station"
"114",18628,"Irvington Rd Station"
"115",18629,"Drexel Park Station"
"116",18630,"Beverly Blvd Station"
"117",18631,"Hilltop Rd Station - FS"
"118",18632,"Walnut St Station"
"119",18636,"Clifton Aldan Station - FS"
"120",18842,"Bartram Av Station - FS"
"121",18843,"Magnolia Av Station"
"122",18844,"Providence Rd Station - FS"
"123",18846,"Drexel Manor Station - MBNS"
"124",20024,"Paper Mill Rd Station"
"125",20025,"Paper Mill Rd Station - FS"
"126",20431,"Sharon Hill Station"
"127",20610,"Malvern Av & 63rd St"
"128",20611,"63rd St & Lebanon Av"
"129",20612,"63rd St & Jefferson St"
"130",20613,"Lansdowne Av & 63rd - FS"
